# food_db_version=vtn-526+resnet10
log_id,log_date,meal_source,meal_complexity,recognition_source,experiment_cohort,ai_confidence,db_match_score,model_version,prompt_version,ai_food_name,db_food_name,ai_cal,ai_pro,ai_carb,ai_fat,db_cal,db_pro,db_carb,db_fat,pt_cal,pt_pro,pt_carb,pt_fat,delta_ai_cal,delta_db_cal,pt_action,pt_correction_reason,pt_reviewed_at,sos_ticket_flag,sos_reason_code,fields_changed,customer_id_hash,image_object_name,ai_portion_g,db_applied,blind_cal,blind_pro,blind_carb,blind_fat,diet_log_items_json
e68bc8f5-0518-4a3f-8582-3599a2f49b4b,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Chưng,Bánh Chưng,600,15,65,20,570,15,63,19,600.0,15.0,65.0,20.0,0.0,30.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_chung_01.jpg,100,True,,,,,[]
a30a47b7-1489-442a-8ff4-572e1fea7f70,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Chưng,Bánh Chưng,600,15,65,20,570,15,63,19,600.0,15.0,65.0,20.0,0.0,30.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_chung_02.jpg,100,True,,,,,[]
25a93519-b47f-4c82-810c-42cbe8bc40b9,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Chưng,Bánh Chưng,600,15,65,20,570,15,63,19,600.0,15.0,65.0,20.0,0.0,30.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_chung_03.jpg,100,True,,,,,[]
ae6280df-7c75-4dc5-924c-6093fc4abe4b,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Khọt,Bánh Khọt,350,12,45,15,332,12,44,14,350.0,12.0,45.0,15.0,0.0,18.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_khot_01.jpg,100,True,,,,,[]
1a36dac0-31ee-4686-983b-35f1b5f57adf,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Khọt,Bánh Khọt,350,12,45,15,332,12,44,14,350.0,12.0,45.0,15.0,0.0,18.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_khot_02.jpg,100,True,,,,,[]
ee89aa6e-9563-43f2-85c6-b027df8cb505,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Khọt,Bánh Khọt,350,12,45,15,332,12,44,14,350.0,12.0,45.0,15.0,0.0,18.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_khot_03.jpg,100,True,,,,,[]
a9fb9caa-4b3c-496e-b0a2-5bad24fa6675,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Mì,Bánh Mì,400,15,45,18,380,15,44,17,400.0,15.0,45.0,18.0,0.0,20.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_mi_01.jpg,100,True,,,,,[]
f7c77288-b242-455a-a3d6-55948b358bb7,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Mì,Bánh Mì,400,15,45,18,380,15,44,17,400.0,15.0,45.0,18.0,0.0,20.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_mi_02.jpg,100,True,,,,,[]
5cd99ba0-feaa-4e75-b72f-d496fd8cf010,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Mì,Bánh Mì,400,15,45,18,380,15,44,17,400.0,15.0,45.0,18.0,0.0,20.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_mi_03.jpg,100,True,,,,,[]
b8b5e67f-eec3-4fd1-a3fa-103ac86748fb,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Tráng Nướng,Bánh Tráng Nướng,250,8,30,10,238,8,29,10,250.0,8.0,30.0,10.0,0.0,12.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_trang_nuong_01.jpg,100,True,,,,,[]
